,Min Value / Valor Mínimo,Max Value / Valor Máximo,Average / Média,Standard Error / Desvio Padrão
mean radius,0,1,0.0706340376143568,0.245572395968034
mean texture,0,1,0.323965116880323,0.145452680695534
mean perimeter,0,1,0.332935065938191,0.167915009596814
mean area,0,1,0.216920086401139,0.14927428597313
mean smoothness,0,1,0.0345852978064955,0.17141121490463
mean compactness,0,1,0.0173896795303808,0.0968568762458404
mean concavity,0,1,0.0239269151681387,0.113798704206838
mean concave points,0,1,0.0146077696847404,0.0997231193298481
mean symmetry,0,1,0.0554458452713177,0.177193097082641
mean fractal dimension,0,1,0.0102777650510065,0.0911287986186008
radius SE,0,1,0.0268117106475014,0.0965327178797693
texture SE,0,1,0.168923402148602,0.170481660830605
perimeter SE,0,1,0.259958177833798,0.179179411150836
area SE,0,1,0.0311665081251777,0.155989330683752
smoothness SE,0,1,0.181119043762758,0.102067442085837
compactness SE,0,1,0.00645303273050214,0.0621828979253326
concavity SE,0,1,0.00291362005201399,0.0441184946458516
concave points SE,0,1,0.00566490949033391,0.0653657385547585
symmetry SE,0,1,0.00720653269889602,0.0681768141430989
fractal dimension SE,0,1,0.00223939638809734,0.041904260386182
worst radius,0,1,0.0308094619724803,0.165992952571433
worst texture,0,1,0.363998486103252,0.163812836434923
worst perimeter,0,1,0.283137669474469,0.167351672239834
worst area,0,1,0.170906195511024,0.139932410703389
worst smoothness,0,1,0.0571144624694937,0.201355475866432
worst compactness,0,1,0.0238492183263522,0.0911866766489507
worst concavity,0,1,0.0213448419218179,0.0912172800023793
worst concave points,0,1,0.0300539014065793,0.135621907386509
worst symmetry,0,1,0.0555503081115342,0.166864260872077
worst fractal dimension,0,1,0.0110397731642209,0.0836355955005178
