,Min Value / Valor Mínimo,Max Value / Valor Máximo,Average / Média,Standard Error / Desvio Padrão
fixed acidity,3.8,14.2,6.85478766843608,0.843868227687519
volatile acidity,0.08,1.1,0.278241118824011,0.100794548424864
citric acid,0,1.66,0.334191506737437,0.121019804202983
residual sugar,0.6,65.8,6.39141486320949,5.07205778401486
chlorides,0.009,0.346,0.0457723560636995,0.0218479680937288
free sulfur dioxide,2,289,35.3080849326256,17.0071373252326
total sulfur dioxide,9,440,138.360657411188,42.4980645541429
density,0.98711,1.03898,0.99402737648019,0.00299090691693694
pH,2.72,3.82,3.18826663944467,0.151000599615067
sulphates,0.22,1.08,0.489846876276033,0.114125833948831
alcohol,8,14.2,10.5142670477746,1.23062056775732
quality,3,9,5.87790935075541,0.885638574967845
