,Min Value / Valor Mínimo,Max Value / Valor Máximo,Average / Média,Standard Error / Desvio Padrão
Time,1,125,46.7323232323232,34.4628699727393
Mean Radius,10.95,27.22,17.4123232323232,3.16167559131811
Mean Texture,10.38,39.28,22.2760101010101,4.29828979565247
Mean Perimeter,71.9,182.1,114.856565656566,21.3834015595529
Mean Area,361.6,2250,970.040909090909,352.149215162083
Mean Smoothness,0.07497,0.1447,0.102681414141414,0.0125224315692399
Mean Compactness,0.04605,0.3114,0.142647777777778,0.0498976018885124
Mean Concavity,0.02398,0.4268,0.156242777777778,0.0705722612053464
Mean Concave Points,0.02031,0.2012,0.0867756060606061,0.0338766312906164
Mean Symmetry,0.1308,0.304,0.19275404040404,0.0274368894442135
Mean Fractal Dimension,0.05025,0.09744,0.062705505050505,0.00723952991557128
Radius SE,0.1938,1.819,0.603346464646465,0.310112241122528
Texture SE,0.3621,3.503,1.26445,0.526466897426889
Perimeter SE,1.153,13.28,4.25539393939394,2.19412751212309
Area SE,13.99,316,70.2287373737374,47.9822547139379
Smoothness SE,0.002667,0.03113,0.00676186363636364,0.00297426964572364
Compactness SE,0.007347,0.1354,0.0311992929292929,0.0176129311397926
Concavity SE,0.01094,0.1438,0.040749797979798,0.0208687155398662
Concave Points SE,0.005174,0.03927,0.0150992525252525,0.00550426727645271
Symmetry SE,0.007882,0.06041,0.0205548585858586,0.00957824254198538
Fractal Dimension SE,0.001087,0.01256,0.00398690404040404,0.00193784526994221
Worst Radius,12.84,35.13,21.0218181818182,4.24299742331845
Worst Texture,16.67,49.54,30.1390909090909,6.01777731720021
Worst Perimeter,85.1,232.2,140.347777777778,28.8922791947454
Worst Area,508.1,3903,1404.95858585859,586.006972206076
Worst Smoothness,0.08191,0.2226,0.143920757575758,0.0220039630240388
Worst Compactness,0.05131,1.058,0.365101818181818,0.163965017148336
Worst Concavity,0.02398,1.17,0.436685303030303,0.173624544770784
Worst Concave Points,0.02899,0.2903,0.178777525252525,0.0451805159528233
Worst Symmetry,0.1565,0.6638,0.32340404040404,0.0751608906012832
Worst Fractal Dimension,0.05504,0.2075,0.0908281313131313,0.021171968682945
Tumor Size,0.4,10,2.84747474747475,1.9379639446151
Lymph node Status,0,27,3.21134020618557,5.47927562794355
