Age,Workclass,Final Weight,Education,Education Number,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per Week,Native Country,Class
0.30137,0,0.044302,0,0.8,0,0,3,0,1,0.02174,0,0.397959,0,0
0.452055,1,0.048238,0,0.8,1,1,2,0,1,0,0,0.122449,0,0
0.287671,2,0.138113,1,0.533333,2,2,3,0,1,0,0,0.397959,0,0
0.493151,2,0.151068,2,0.4,1,2,2,4,1,0,0,0.397959,0,0
0.150685,2,0.221488,0,0.8,1,3,0,4,0,0,0,0.397959,12,0
0.273973,2,0.184932,3,0.866667,1,1,0,0,0,0,0,0.397959,0,0
0.438356,2,0.100448,4,0.266667,3,8,3,4,0,0,0,0.153061,18,0
0.479452,1,0.134036,1,0.533333,1,1,2,0,1,0,0,0.44898,0,1
0.191781,2,0.022749,3,0.866667,0,3,3,0,0,0.140841,0,0.5,0,1
0.342466,2,0.099947,0,0.8,1,1,2,0,1,0.051781,0,0.397959,0,1
0.273973,2,0.182135,5,0.6,1,1,2,4,1,0,0,0.806122,0,1
0.178082,0,0.087619,0,0.8,1,3,2,1,1,0,0,0.397959,7,1
0.082192,2,0.074698,0,0.8,0,0,1,0,0,0,0,0.295918,0,0
0.205479,2,0.130896,6,0.733333,0,4,3,4,1,0,0,0.5,0,0
0.232877,2,0.15838,7,0.2,1,5,2,2,1,0,0,0.44898,20,0
0.109589,1,0.111701,1,0.533333,0,6,1,0,1,0,0,0.346939,0,0
0.205479,2,0.118539,1,0.533333,0,7,5,0,1,0,0,0.397959,0,0
0.287671,2,0.011275,2,0.4,1,4,2,0,1,0,0,0.5,0,0
0.356164,1,0.190088,3,0.866667,2,1,5,0,0,0,0,0.44898,0,1
0.315068,2,0.123089,8,1,1,3,2,0,1,0,0,0.602041,0,1
0.506849,2,0.19686,1,0.533333,4,8,5,4,0,0,0,0.193878,0,0
0.246575,3,0.043846,4,0.266667,1,6,2,4,1,0,0,0.397959,0,0
0.356164,2,0.071143,2,0.4,1,5,2,0,1,0,0.468779,0.397959,0,0
0.575342,2,0.065695,1,0.533333,2,9,5,0,0,0,0,0.397959,0,0
0.534247,4,0.138932,0,0.8,1,9,2,0,1,0,0,0.397959,0,1
0.027397,2,0.105954,1,0.533333,0,10,1,0,1,0,0,0.397959,0,0
0.30137,2,0.241083,1,0.533333,2,1,3,0,1,0,0,0.806122,0,0
0.438356,2,0.122982,1,0.533333,1,10,2,0,1,0,0,0.397959,0,0
0.082192,4,0.121177,6,0.733333,0,11,3,0,1,0,0,0.520408,0,0
0.041096,2,0.172322,5,0.6,0,4,1,4,1,0,0,0.438776,0,0
0.383562,2,0.254448,0,0.8,2,1,1,0,1,0,0.323232,0.397959,0,0
0.178082,3,0.032373,5,0.6,1,0,1,0,1,0,0,0.397959,0,0
0.068493,0,0.203221,5,0.6,1,8,2,4,1,0,0,0.142857,0,0
0.424658,2,0.156288,2,0.4,0,7,5,0,1,0,0,0.397959,3,0
0.054795,2,0.125586,5,0.6,0,7,1,0,1,0,0,0.397959,0,0
0.027397,2,0.361178,1,0.533333,5,0,0,0,0,0,0,0.244898,0,0
0.424658,1,0.171956,6,0.733333,1,3,2,0,1,0,0,0.397959,0,0
0.191781,2,0.336582,4,0.266667,1,7,2,0,1,0,0,0.428571,0,0
0.493151,1,0.051766,0,0.8,1,3,2,0,1,0,0,0.397959,0,0
0.09589,2,0.109141,0,0.8,1,9,2,0,1,0,0,0.5,0,0
0.438356,2,0.05593,1,0.533333,4,0,5,0,0,0,0,0.397959,0,0
0.109589,2,0.188598,1,0.533333,0,2,3,0,1,0,0,0.346939,0,0
0.547945,3,0.221139,0,0.8,1,3,2,4,1,0,0,0.397959,0,1
0.493151,2,0.0897,1,0.533333,1,7,2,0,1,0,0,0.377551,0,0
0.369863,2,0.078829,3,0.866667,2,1,5,0,0,0,0,0.397959,0,0
0.328767,0,0.060661,9,0.666667,1,10,2,0,1,0,0,0.397959,0,0
0.164384,2,0.176024,9,0.666667,0,3,3,0,1,0,0,0.428571,0,0
0.109589,2,0.013576,5,0.6,1,1,0,3,0,0,0,0.397959,0,0
0.410959,2,0.026861,10,0.933333,1,3,0,0,0,0,0.436639,0.602041,14,1
0.452055,3,0.162522,0,0.8,2,1,3,0,1,0,0,0.55102,0,1
0.410959,5,0.066249,1,0.533333,2,1,3,0,1,0,0,0.602041,0,0
0.356164,2,0.153291,5,0.6,1,9,2,0,1,0,0,0.397959,0,1
0.39726,2,0.138806,11,0.133333,1,7,2,0,1,0,0,0.397959,20,0
0.246575,2,0.029928,9,0.666667,1,8,2,0,1,0,0,0.397959,3,0
0.328767,2,0.091745,1,0.533333,1,0,2,0,1,0,0,0.479592,0,0
0.178082,2,0.119437,1,0.533333,1,7,2,0,1,0.050131,0,0.397959,0,0
0.178082,2,0.032064,0,0.8,1,4,2,0,1,0.02407,0,0.397959,0,0
0.424658,2,0.093285,1,0.533333,1,5,2,0,1,0,0,0.397959,0,0
0.342466,2,0.070868,8,1,1,3,2,0,1,0,0,0.44898,0,1
0.164384,2,0.063374,5,0.6,2,9,3,0,1,0,0,0.581633,0,0
0.260274,2,0.09729,1,0.533333,1,10,2,0,1,0,0,0.397959,0,0
0.150685,2,0.116061,5,0.6,2,0,3,0,0,0,0,0.397959,0,0
0.493151,2,0.107008,1,0.533333,1,0,0,0,0,0,0,0.397959,0,1
0.438356,5,0.121838,5,0.6,1,1,2,0,1,0,0,0.5,0,1
0.027397,2,0.060597,5,0.6,0,3,1,0,1,0,0,0.316327,0,0
