,Min Value / Valor Mínimo,Max Value / Valor Máximo,Average / Média,Standard Error / Desvio Padrão
mean radius,7.76,9904,706.771388400703,2430.2433678747
mean texture,9.71,39.28,19.2896485061512,4.30103576816695
mean perimeter,43.79,188.5,91.9690333919157,24.2989810387549
mean area,143.5,2501,654.889103690686,351.914129181653
mean smoothness,0.05263,123,4.30480140597539,21.0745580610291
mean compactness,0.01938,277,4.83598421792619,26.8274776338361
mean concavity,0,313,7.48912444762741,35.6189944167403
mean concave points,0,162,2.36645868892795,16.1551453314354
mean symmetry,0.1167,304,16.9657664323374,53.8460230786934
mean fractal dimension,0.04996,78,0.851112196836556,7.10349349747188
radius SE,0.1115,2873,77.1385551845343,277.327735070533
texture SE,0.3602,4885,825.490173286468,832.741505663275
perimeter SE,0.7714,9807,2549.98071827768,1757.07426615849
area SE,10.08,9833,316.22611599297,1532.27071616004
smoothness SE,0.001713,0.03113,0.00704097891036907,0.00300251794383907
compactness SE,0.002252,27,0.176469351493849,1.67879820809785
concavity SE,0,396,1.15379354059754,17.4709238797572
concave points SE,0,12,0.067978913884007,0.784388862657102
symmetry SE,0.007882,31,0.231227711775044,2.11294386878699
fractal dimension SE,0.0008948,6,0.014329174516696,0.251388066384898
worst radius,7.93,9981,315.194920913884,1655.45933550158
worst texture,12.02,49.54,25.677223198594,6.14625762303832
worst perimeter,50.41,251.2,107.261212653779,33.6025422690363
worst area,185.2,4254,880.583128295254,569.356992669949
worst smoothness,0.07117,185,10.6332807205624,37.2364325660724
worst compactness,0.02729,1058,25.2591121441125,96.4730154101841
worst concavity,0,1252,26.723742086116,114.204034562979
worst concave points,0,291,8.74568530931458,39.4659750494741
worst symmetry,0.1565,544,30.3671739894552,90.7480436575834
worst fractal dimension,0.05504,173,1.96431312829525,14.4643547184132
