,Min Value / Valor Mínimo,Max Value / Valor Máximo,Average / Média,Standard Error / Desvio Padrão
Malic Acid,11.03,14.83,13.0006179775281,0.811826538005858
Ash,0.74,5.8,2.33634831460674,1.11714609761446
Alcalinity of Ash,1.36,3.23,2.36651685393259,0.274344009060815
Magnesium,10.6,30,19.4949438202247,3.33956376717351
Total Phenols,70,162,99.7415730337079,14.2824835152957
Flavanoids,0.98,3.88,2.29511235955056,0.625851048833989
Nonflavanoid Phenols,0.34,5.08,2.02926966292135,0.998858685016947
Proanthocyanins,0.13,0.66,0.36185393258427,0.124453340296679
Color Intensity,0.41,3.58,1.5908988764045,0.572358862674761
Hue,1.28,13,5.05808988202247,2.31828587182241
OD280 of Diluted Wines,0.48,1.71,0.957449438202247,0.228571565829823
OD315 of Diluted Wines,1.27,4,2.61168539325843,0.70999042876505
Proline,278,1680,746.893258426966,314.907474276849
