,Min Value / Valor Mínimo,Max Value / Valor Máximo,Average / Média,Standard Error / Desvio Padrão
Time,0,1,0.375316669481507,0.277858912329024
Mean Radius,0,1,0.397509951505517,0.196247976301089
Mean Texture,0,1,0.408578053950253,0.147759875952402
Mean Perimeter,0,1,0.390219116123944,0.195739473728799
Mean Area,0,1,0.322712044102822,0.188239671406321
Mean Smoothness,0,1,0.401435454479244,0.180871118549676
Mean Compactness,0,1,0.366818890786347,0.189189459207355
Mean Concavity,0,1,0.330643570160214,0.176423878013811
Mean Concave Points,0,1,0.370359296775484,0.187866976449436
Mean Symmetry,0,1,0.359569785860247,0.160746588139293
Mean Fractal Dimension,0,1,0.266163631703851,0.155008617314682
Radius SE,0,1,0.253287553493215,0.191757157719422
Texture SE,0,1,0.289109284213232,0.168774737943713
Perimeter SE,0,1,0.257290102091435,0.181119369051709
Area SE,0,1,0.187319826273912,0.159975754542892
Smoothness SE,0,1,0.144996360665164,0.105813132619399
Compactness SE,0,1,0.188547706624911,0.139206490513555
Concavity SE,0,1,0.226621653466665,0.158891272162202
Concave Points SE,0,1,0.294292401374868,0.162561121988956
Symmetry SE,0,1,0.241663184770665,0.184598919497241
Fractal Dimension SE,0,1,0.256049828803615,0.17038879189112
Worst Radius,0,1,0.366884405703964,0.191555804394307
Worst Texture,0,1,0.407434013414737,0.183483072665427
Worst Perimeter,0,1,0.3758016237129,0.196918898438004
Worst Area,0,1,0.264419882055914,0.173919362285049
Worst Smoothness,0,1,0.442452847391261,0.157649594236143
Worst Compactness,0,1,0.313357304554,0.164661662273291
Worst Concavity,0,1,0.36159155322984,0.152673703868163
Worst Concave Points,0,1,0.575564799266522,0.173002761452254
Worst Symmetry,0,1,0.327098704464556,0.147048603658568
Worst Fractal Dimension,0,1,0.236167000802888,0.140345852377007
Tumor Size,0,1,0.256980802792321,0.204370506537497
Lymph node Status,0,1,0.12080667054489,0.203976620203199
